Fecha;Meta;CENTRO;NORTE;LINCE
2/01/2026;27907.5;19820.41;8087.09;0
3/01/2026;27907.5;19820.41;8087.09;0
5/01/2026;27907.5;19820.41;8087.09;0
6/01/2026;27907.5;19820.41;8087.09;0
7/01/2026;27907.5;19820.41;8087.09;0
8/01/2026;27907.5;19820.41;8087.09;0
9/01/2026;27907.5;19820.41;8087.09;0
10/01/2026;27907.5;19820.41;8087.09;0
12/01/2026;27907.5;19820.41;8087.09;0
13/01/2026;27907.5;19820.41;8087.09;0
14/01/2026;27907.5;19820.41;8087.09;0
15/01/2026;27907.5;19820.41;8087.09;0
16/01/2026;27907.5;19820.41;8087.09;0
17/01/2026;27907.5;19820.41;8087.09;0
19/01/2026;27907.5;19820.41;8087.09;0
20/01/2026;27907.5;19820.41;8087.09;0
21/01/2026;27907.5;19820.41;8087.09;0
22/01/2026;27907.5;19820.41;8087.09;0
23/01/2026;27907.5;19820.41;8087.09;0
24/01/2026;27907.5;19820.41;8087.09;0
26/01/2026;27907.5;19820.41;8087.09;0
27/01/2026;27907.5;19820.41;8087.09;0
28/01/2026;27907.5;19820.41;8087.09;0
29/01/2026;27907.5;19820.41;8087.09;0
30/01/2026;27907.5;19820.41;8087.09;0
31/01/2026;27907.5;19820.41;8087.09;0
2/02/2026;31424.67;21888.59;9536.08;0
3/02/2026;31424.67;21888.59;9536.08;0
4/02/2026;31424.67;21888.59;9536.08;0
5/02/2026;31424.67;21888.59;9536.08;0
6/02/2026;31424.67;21888.59;9536.08;0
7/02/2026;31424.67;21888.59;9536.08;0
9/02/2026;31424.67;21888.59;9536.08;0
10/02/2026;31424.67;21888.59;9536.08;0
11/02/2026;31424.67;21888.59;9536.08;0
12/02/2026;31424.67;21888.59;9536.08;0
13/02/2026;31424.67;21888.59;9536.08;0
14/02/2026;31424.67;21888.59;9536.08;0
16/02/2026;31424.67;21888.59;9536.08;0
17/02/2026;31424.67;21888.59;9536.08;0
18/02/2026;31424.67;21888.59;9536.08;0
19/02/2026;31424.67;21888.59;9536.08;0
20/02/2026;31424.67;21888.59;9536.08;0
21/02/2026;31424.67;21888.59;9536.08;0
23/02/2026;31424.67;21888.59;9536.08;0
24/02/2026;31424.67;21888.59;9536.08;0
25/02/2026;31424.67;21888.59;9536.08;0
26/02/2026;31424.67;21888.59;9536.08;0
27/02/2026;31424.67;21888.59;9536.08;0
28/02/2026;31424.67;21888.59;9536.08;0
2/03/2026;23058.73;16074.5;6984.23;0
3/03/2026;44735.3;30574.5;14160.8;0
4/03/2026;23058.73;16074.5;6984.23;0
5/03/2026;35195.05;21034.25;14160.8;0
6/03/2026;28018.48;21034.25;6984.23;0
7/03/2026;26350.05;21034.25;5315.8;0
9/03/2026;27973.48;21034.25;6939.23;0
10/03/2026;35395.05;21034.25;14360.8;0
11/03/2026;27973.48;21034.25;6939.23;0
